                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99247,                 1.0401,                 1.0425,                0.07704,                0.36481,                 0.0561,                0.03593,                 1.3201,                 10.904,                 1.4614,             0.00066286,             0.00066286,             0.00066286
                      2,                 1.0009,                0.78299,                 1.0546,                0.80688,                0.90844,                0.89612,                 0.6459,                0.93347,                 1.4055,                 1.0678,              0.0013164,              0.0013164,              0.0013164
                      3,                 1.0342,                0.78008,                 1.0635,                0.88125,                0.89707,                0.93775,                0.68718,                0.94059,                0.76053,                 1.0343,              0.0019567,              0.0019567,              0.0019567
                      4,                 1.0026,                0.74932,                 1.0607,                0.94555,                0.94134,                0.97895,                0.73388,                0.93163,                0.73857,                 1.0285,              0.0019406,              0.0019406,              0.0019406
                      5,                0.95173,                0.71885,                 1.0374,                0.95637,                0.92515,                0.97307,                0.73823,                0.84719,                0.58057,                0.98332,              0.0019208,              0.0019208,              0.0019208
                      6,                0.92743,                0.65224,                 1.0275,                0.96336,                0.96066,                0.98736,                0.77159,                0.82257,                0.54677,                0.97894,               0.001901,               0.001901,               0.001901
                      7,                0.91382,                0.62886,                 1.0255,                 0.9685,                0.95136,                0.98626,                0.74948,                0.84261,                 0.5763,                0.98574,              0.0018812,              0.0018812,              0.0018812
                      8,                0.87563,                0.61541,                  1.014,                0.96981,                0.95279,                0.98773,                0.78757,                 0.7718,                0.52098,                 0.9491,              0.0018614,              0.0018614,              0.0018614
                      9,                0.85494,                0.59174,                0.99078,                0.97226,                0.96924,                0.99181,                0.80507,                0.73906,                0.49102,                0.92047,              0.0018416,              0.0018416,              0.0018416
                     10,                0.84502,                0.57112,                0.98713,                0.96191,                0.95752,                 0.9872,                0.76906,                0.80559,                0.50319,                0.94804,              0.0018218,              0.0018218,              0.0018218
                     11,                0.81523,                0.56492,                0.98267,                0.97262,                0.95994,                0.98987,                 0.7944,                  0.751,                0.51521,                 0.9305,               0.001802,               0.001802,               0.001802
                     12,                0.80987,                0.55315,                0.96873,                0.97939,                0.97997,                0.99279,                0.78975,                0.75035,                0.46418,                0.92588,              0.0017822,              0.0017822,              0.0017822
                     13,                0.81653,                0.54745,                0.96724,                 0.9779,                0.97854,                0.99115,                0.81841,                0.68217,                0.45047,                0.90597,              0.0017624,              0.0017624,              0.0017624
                     14,                0.78149,                0.51187,                0.95925,                0.97961,                0.97783,                0.99279,                0.82422,                0.67795,                0.42568,                0.89993,              0.0017426,              0.0017426,              0.0017426
                     15,                0.75778,                0.49657,                0.95379,                0.98358,                0.98559,                0.99317,                0.82164,                0.67254,                0.41848,                0.89357,              0.0017228,              0.0017228,              0.0017228
                     16,                0.76664,                0.49075,                0.94439,                0.97193,                0.97783,                0.99118,                0.79946,                0.75277,                 0.4358,                 0.9351,               0.001703,               0.001703,               0.001703
                     17,                0.76466,                0.49898,                 0.9492,                0.98335,                0.96996,                0.99311,                0.84465,                0.64967,                0.41276,                 0.8863,              0.0016832,              0.0016832,              0.0016832
                     18,                0.73159,                0.48119,                0.93866,                0.97778,                0.97585,                0.99188,                0.82692,                0.65149,                0.41633,                0.88831,              0.0016634,              0.0016634,              0.0016634
                     19,                0.75058,                0.48752,                 0.9414,                0.98209,                0.98051,                0.99357,                 0.8447,                0.62988,                0.39607,                0.88092,              0.0016436,              0.0016436,              0.0016436
                     20,                0.73417,                0.48865,                0.94248,                 0.9814,                0.98139,                0.99231,                0.84126,                0.62856,                0.38776,                0.88545,              0.0016238,              0.0016238,              0.0016238
                     21,                0.73115,                0.47218,                0.93908,                0.98841,                0.97566,                 0.9938,                0.82556,                0.68977,                0.40991,                0.89175,               0.001604,               0.001604,               0.001604
                     22,                0.71989,                0.45333,                 0.9303,                0.98568,                0.98471,                0.99404,                0.83317,                0.65153,                0.38525,                0.88312,              0.0015842,              0.0015842,              0.0015842
